Eil. Nr.,Stotis[name],Aukščiausiaoro temperatūravakar dieną,Vidutinėoro temperatūrapraėjusią parą,Žemiausiaoro temperatūrašią naktį,Didžiausiasvėjo greitispraėjusią parą,Krituliu kiekisvakar dieną,Kritulių kiekisšią naktį
1,Akmenės AMS,6.1,5.4,3.0,,0.9,0.3
2,Alytaus AMS,4.9,4.2,4.3,,0.1,0.0
3,Birštono AMS,5.3,4.6,4.7,,0.2,0.1
4,Biržų AMS,5.5,4.8,0.9,7.0,0.2,0.2
5,Dotnuvos AMS,5.7,5,3.1,6.8,0.1,0.0
6,Druskininkų AMS,5.0,4.4,4.2,,0.0,0.2
7,Dūkšto AMS,5.2,3.1,1.9,5.9,0.0,0.2
8,Elektrėnų AMS,4.9,4,4.0,,0.0,0.4
9,Jonavos AMS,5.5,4.8,4.1,,0.2,0.0
10,Joniškio AMS,6.3,5.4,3.2,,0.1,0.3
11,Jurbarko AMS,5.7,5.4,3.0,,0.0,0.0
12,Kaišiadorių AMS,5.3,4.3,4.3,,0.0,0.0
13,Kalvarijos AMS,5.2,4.6,3.5,,0.0,0.0
14,Kauno AMS,5.1,4.8,4.1,7.1,0.2,0.0
15,Kazlų Rūdos AMS,5.6,4.9,3.5,,0.1,0.0
16,Kelmės AMS,5.0,5,1.8,,0.5,0.0
17,Kybartų AMS,6.0,5.3,2.7,8.2,0.0,0.0
18,Klaipėdos AMS,7.9,7.4,2.7,11.7,3.8,0.7
19,Kretingos AMS,7.0,6.4,2.1,,12.4,1.5
20,Kupiškio AMS,5.4,4.7,3.5,,0.3,0.0
21,Laukuvos AMS,5.0,4.8,2.1,8.5,0.8,0.0
22,Lazdijų AMS,5.1,4.5,3.9,7.9,0.1,0.0
23,Marijampolės AMS,5.6,4.7,3.8,6.1,0.1,0.0
24,Mažeikių AMS,6.6,5.8,3.2,8.1,1.0,0.0
25,Molėtų AMS,5.5,3.8,3.4,,0.8,0.0
26,Nidos AMS,7.4,6,3.1,8.9,0.0,0.0
27,Pagėgių AMS,6.1,5.2,1.9,,0.2,0.0
28,Pakruojo AMS,5.6,4.5,1.6,,0.1,0.0
29,Panevėžio AMS,5.5,4.9,3.5,7.4,0.7,0.0
30,Plungės AMS,4.9,4.9,1.8,,10.2,1.8
31,Prienų AMS,4.8,4.4,4.1,,0.1,0.0
32,Raseinių AMS,4.8,4.8,2.4,7.5,0.0,0.0
33,Rietavo AMS,4.7,4.2,2.0,,2.7,0.1
34,Rokiškio AMS,5.0,4,2.9,6.4,0.4,0.5
35,Skuodo AMS,6.8,5.9,2.7,,5.9,2.6
36,Šakių AMS,5.5,4.9,2.8,,0.0,0.0
37,Šalčininkų AMS,4.9,2.6,3.3,,0.0,0.2
38,Šeduvos AMS,5.3,4.8,2.1,,0.1,0.0
39,Šiaulių AMS,5.6,5.2,2.9,8.6,0.0,0.0
40,Šilutės AMS,6.7,5.1,2.2,9.8,0.2,0.0
41,Švenčionių AMS,4.6,2.6,2.8,5.2,0.1,0.1
42,Tauragės AMS,5.8,5.3,2.9,6.4,0.2,0.0
43,Telšių AMS,5.1,4.9,1.7,8.6,3.4,0.3
44,Trakų AMS,5.0,3.7,3.8,,0.0,0.1
45,Ukmergės AMS,5.4,4.4,3.9,7.5,0.1,0.0
46,Utenos AMS,5.5,4.1,3.1,5.5,0.1,0.0
47,Varėnos AMS,4.6,3.5,4.2,4.7,0.0,0.1
48,Ventės AMS,4.5,4.2,2.9,10.6,0.4,0.0
49,Vėžaičių AMS,6.1,4.8,2.7,8.7,7.2,0.0
50,Vilniaus AMS,5.4,3.4,3.7,6.9,0.0,0.0
51,Zarasų AMS,5.3,3.3,1.7,,0.1,0.4
,Visoje Lietuvoje,,4.7,,,,
