Eil. Nr.,Stotis[name],Aukščiausiaoro temperatūravakar dieną,Vidutinėoro temperatūrapraėjusią parą,Žemiausiaoro temperatūrašią naktį,Didžiausiasvėjo greitispraėjusią parą,Krituliu kiekisvakar dieną,Kritulių kiekisšią naktį
1,Akmenės AMS,6.4,6.5,3.7,,3.2,0.0
2,Alytaus AMS,6.1,4.3,2.3,,0.7,6.0
3,Birštono AMS,7.5,5.1,3.2,,0.7,6.6
4,Biržų AMS,5.0,5,3.7,11.0,3.8,4.7
5,Dotnuvos AMS,4.8,4.8,4.3,10.0,5.2,4.4
6,Druskininkų AMS,5.5,4,3.2,,0.0,5.1
7,Dūkšto AMS,4.9,2.7,1.2,8.5,0.0,3.1
8,Elektrėnų AMS,5.5,3.8,2.7,,0.3,5.1
9,Jonavos AMS,6.1,5.4,3.9,,0.6,5.9
10,Joniškio AMS,6.0,5.9,3.8,,5.1,0.0
11,Jurbarko AMS,6.2,5.3,4.5,,9.6,0.3
12,Kaišiadorių AMS,7.0,4.6,3.2,,0.5,6.2
13,Kalvarijos AMS,6.2,4.6,2.6,,3.8,4.5
14,Kauno AMS,5.9,4.8,4.0,10.4,2.4,5.7
15,Kazlų Rūdos AMS,6.1,4.9,4.2,,3.1,5.6
16,Kelmės AMS,5.2,5.1,4.6,,6.2,0.0
17,Kybartų AMS,6.7,6,3.5,10.8,6.9,1.0
18,Klaipėdos AMS,8.4,7.7,7.0,13.0,6.3,0.0
19,Kretingos AMS,8.3,7.3,4.4,,5.1,0.0
20,Kupiškio AMS,4.2,4.6,3.9,,1.5,6.5
21,Laukuvos AMS,5.9,5,4.3,12.7,6.9,0.0
22,Lazdijų AMS,6.4,4.6,2.3,10.1,1.6,6.7
23,Marijampolės AMS,6.0,5,2.5,12.5,3.4,5.0
24,Mažeikių AMS,6.7,7,4.6,10.8,1.9,0.0
25,Molėtų AMS,5.5,3.8,2.4,,0.2,4.1
26,Nidos AMS,8.6,6.5,3.9,11.4,5.9,0.0
27,Pagėgių AMS,6.4,5.7,4.2,,10.8,0.0
28,Pakruojo AMS,5.0,5.1,2.4,,4.6,0.5
29,Panevėžio AMS,4.5,4.8,4.1,10.7,2.1,6.2
30,Plungės AMS,6.2,5.5,3.9,,4.4,0.0
31,Prienų AMS,6.9,4.5,3.5,,0.4,6.3
32,Raseinių AMS,4.9,5,4.5,10.8,8.9,0.5
33,Rietavo AMS,4.5,3.8,3.4,,4.0,0.0
34,Rokiškio AMS,4.7,4.2,2.8,10.0,0.6,4.9
35,Skuodo AMS,8.7,7.8,4.6,,3.0,1.0
36,Šakių AMS,6.3,4.9,4.1,,7.4,1.7
37,Šalčininkų AMS,3.4,1.3,0.2,,0.0,3.2
38,Šeduvos AMS,5.1,4.9,3.3,,5.4,1.2
39,Šiaulių AMS,5.6,5.8,4.8,12.8,3.4,0.0
40,Šilutės AMS,7.2,6.8,3.5,9.9,6.2,0.0
41,Švenčionių AMS,3.3,1.9,0.5,11.4,0.0,3.2
42,Tauragės AMS,6.4,6.3,4.5,7.3,5.1,0.0
43,Telšių AMS,5.6,5.8,4.5,14.1,3.6,0.0
44,Trakų AMS,4.2,2.9,2.1,,0.0,4.5
45,Ukmergės AMS,7.0,4.7,3.2,11.9,0.5,6.9
46,Utenos AMS,5.9,4.1,2.5,10.1,0.4,3.6
47,Varėnos AMS,5.0,2.9,1.3,9.1,0.0,4.6
48,Ventės AMS,4.9,5.2,3.5,14.1,5.9,0.0
49,Vėžaičių AMS,6.5,6.2,0.6,10.9,5.3,0.0
50,Vilniaus AMS,4.3,2.6,1.2,10.7,0.0,4.3
51,Zarasų AMS,5.3,3.3,1.7,,0.0,3.6
,Visoje Lietuvoje,,4.9,,,,
