Eil. Nr.,Stotis[name],Aukščiausiaoro temperatūravakar dieną,Vidutinėoro temperatūrapraėjusią parą,Žemiausiaoro temperatūrašią naktį,Didžiausiasvėjo greitispraėjusią parą,Krituliu kiekisvakar dieną,Kritulių kiekisšią naktį
1,Akmenės AMS,-0.5,-0.3,-1.6,,0.7,0.5
2,Alytaus AMS,3.1,2.8,0.0,,0.2,0.0
3,Birštono AMS,3.7,3.4,0.7,,0.6,0.1
4,Biržų AMS,-0.2,0.3,-0.8,8.5,0.0,0.0
5,Dotnuvos AMS,0.0,0.9,0.0,11.2,0.6,0.0
6,Druskininkų AMS,3.7,2.9,0.3,,0.1,0.0
7,Dūkšto AMS,-0.3,0.6,-1.5,10.0,0.5,0.3
8,Elektrėnų AMS,2.4,2.1,-0.4,,0.5,0.0
9,Jonavos AMS,1.5,2.1,0.9,,1.3,0.0
10,Joniškio AMS,-0.7,-0.4,-1.0,,0.1,0.0
11,Jurbarko AMS,0.9,1.4,0.9,,1.6,0.1
12,Kaišiadorių AMS,2.6,2.3,0.1,,0.1,0.0
13,Kalvarijos AMS,3.3,2.9,0.5,,0.4,0.1
14,Kauno AMS,2.2,2.1,0.6,10.2,1.0,0.0
15,Kazlų Rūdos AMS,3.0,2.6,0.7,,0.6,0.0
16,Kelmės AMS,-0.2,0.2,-0.8,,3.1,0.3
17,Kybartų AMS,3.4,2.5,1.5,8.7,1.2,0.9
18,Klaipėdos AMS,1.2,1.1,-1.0,13.7,2.7,1.7
19,Kretingos AMS,0.5,0.7,-1.3,,1.2,1.9
20,Kupiškio AMS,-0.2,0.7,-0.4,,0.0,0.0
21,Laukuvos AMS,-0.7,-0.1,-1.2,15.9,0.4,1.2
22,Lazdijų AMS,3.2,2.8,0.1,6.9,0.0,0.1
23,Marijampolės AMS,3.5,3.1,0.4,7.4,0.2,0.1
24,Mažeikių AMS,-0.4,-0.2,-2.1,10.9,0.0,0.9
25,Molėtų AMS,0.2,1.1,-1.1,,1.2,0.5
26,Nidos AMS,0.8,1.5,0.7,12.9,5.0,0.7
27,Pagėgių AMS,0.4,1.4,0.3,,4.3,1.9
28,Pakruojo AMS,-0.4,-0,-0.7,,0.7,0.0
29,Panevėžio AMS,0.0,0.8,-0.3,11.1,0.2,0.0
30,Plungės AMS,-0.3,-0,-2.0,,4.1,4.0
31,Prienų AMS,2.7,2.5,0.0,,3.0,0.1
32,Raseinių AMS,-0.3,0.4,-0.3,12.9,0.2,0.0
33,Rietavo AMS,0.0,0.2,-1.4,,2.3,2.0
34,Rokiškio AMS,-0.6,0.3,-1.4,10.4,0.0,0.1
35,Skuodo AMS,0.0,0.1,-1.8,,0.8,4.6
36,Šakių AMS,2.0,1.5,0.9,,0.6,0.1
37,Šalčininkų AMS,2.3,1.9,-1.6,,0.1,0.0
38,Šeduvos AMS,-0.6,0.2,-0.8,,0.7,0.0
39,Šiaulių AMS,-1.0,-0.3,-1.4,10.9,1.4,0.1
40,Šilutės AMS,0.4,1.4,0.3,11.3,2.7,0.4
41,Švenčionių AMS,0.2,0.7,-2.1,8.9,2.4,0.9
42,Tauragės AMS,0.4,1.2,0.3,10.6,2.5,1.3
43,Telšių AMS,-1.1,-0.6,-2.3,12.3,1.6,1.5
44,Trakų AMS,2.7,2.3,-0.8,,0.4,0.0
45,Ukmergės AMS,0.5,1.4,0.0,10.7,0.6,0.2
46,Utenos AMS,0.1,1,-0.7,10.3,0.6,0.1
47,Varėnos AMS,2.8,2.4,-0.4,5.2,0.2,0.2
48,Ventės AMS,0.6,1.4,0.5,12.9,3.2,0.3
49,Vėžaičių AMS,0.6,0.8,-0.9,13.7,0.1,1.0
50,Vilniaus AMS,2.8,2.1,-0.9,5.6,0.4,0.0
51,Zarasų AMS,-0.5,0.3,-1.8,,0.6,0.4
,Visoje Lietuvoje,,1.2,,,,
