Eil. Nr.,Stotis[name],Aukščiausiaoro temperatūravakar dieną,Vidutinėoro temperatūrapraėjusią parą,Žemiausiaoro temperatūrašią naktį,Didžiausiasvėjo greitispraėjusią parą,Krituliu kiekisvakar dieną,Kritulių kiekisšią naktį
1,Akmenės AMS,3.2,1.9,2.8,,0.0,0.4
2,Alytaus AMS,4.0,2.7,3.4,,0.0,0.3
3,Birštono AMS,4.5,3.2,3.9,,0.0,0.7
4,Biržų AMS,3.6,2.2,3.2,10.1,0.0,0.2
5,Dotnuvos AMS,3.5,2.5,2.0,10.5,0.0,0.1
6,Druskininkų AMS,4.1,2.8,3.6,,0.0,0.0
7,Dūkšto AMS,3.4,1.3,3.3,8.7,0.0,0.0
8,Elektrėnų AMS,3.7,2.5,3.6,,0.0,0.4
9,Jonavos AMS,4.3,3.1,4.1,,0.0,0.5
10,Joniškio AMS,3.2,1.8,3.1,,0.0,0.0
11,Jurbarko AMS,3.8,2.5,1.3,,0.0,0.5
12,Kaišiadorių AMS,4.0,2.7,3.9,,0.0,1.0
13,Kalvarijos AMS,3.7,2.4,2.8,,0.0,0.5
14,Kauno AMS,3.6,2.6,3.3,10.4,0.0,0.4
15,Kazlų Rūdos AMS,3.6,2.8,3.2,,0.0,1.7
16,Kelmės AMS,2.7,1.8,2.1,,0.0,0.1
17,Kybartų AMS,4.1,2.4,2.6,9.1,0.0,0.0
18,Klaipėdos AMS,4.1,3.2,3.3,11.8,0.0,0.7
19,Kretingos AMS,3.8,2.5,2.8,,0.0,0.2
20,Kupiškio AMS,3.7,2,2.9,,0.0,0.0
21,Laukuvos AMS,2.3,1.3,1.8,11.2,0.0,0.0
22,Lazdijų AMS,3.6,2.6,2.9,12.3,0.0,0.0
23,Marijampolės AMS,3.7,2.7,3.2,11.6,0.0,1.9
24,Mažeikių AMS,3.4,2,2.8,9.6,0.0,0.1
25,Molėtų AMS,4.0,2,3.3,,0.0,0.1
26,Nidos AMS,3.8,3.1,3.2,12.9,0.0,0.0
27,Pagėgių AMS,4.0,1.9,1.3,,0.0,0.1
28,Pakruojo AMS,3.3,1.9,2.8,,0.0,0.0
29,Panevėžio AMS,3.7,2.4,3.1,10.8,0.0,0.1
30,Plungės AMS,2.7,1.4,2.1,,0.0,0.1
31,Prienų AMS,3.7,2.5,3.3,,0.0,0.6
32,Raseinių AMS,3.1,2,1.7,9.9,0.0,0.4
33,Rietavo AMS,2.6,1.4,2.0,,0.0,0.1
34,Rokiškio AMS,3.6,2,3.0,9.4,0.0,0.0
35,Skuodo AMS,3.8,2.6,3.0,,0.0,0.6
36,Šakių AMS,3.6,2.2,1.0,,0.0,0.8
37,Šalčininkų AMS,3.8,1.7,3.1,,0.0,0.0
38,Šeduvos AMS,3.3,2,2.6,,0.0,0.0
39,Šiaulių AMS,2.9,2,2.7,11.9,0.0,0.0
40,Šilutės AMS,4.3,2.3,2.7,8.8,0.0,0.1
41,Švenčionių AMS,3.5,1.1,3.1,9.3,0.0,0.0
42,Tauragės AMS,3.8,2.5,2.4,9.8,0.0,0.6
43,Telšių AMS,2.7,1.3,1.9,12.6,0.0,0.0
44,Trakų AMS,3.6,2.1,3.3,,0.0,0.0
45,Ukmergės AMS,4.1,2.8,3.8,9.7,0.0,0.5
46,Utenos AMS,3.9,2.2,3.5,9.5,0.0,0.2
47,Varėnos AMS,4.0,2.3,3.6,10.0,0.0,0.0
48,Ventės AMS,4.2,3.1,3.1,17.5,0.0,0.0
49,Vėžaičių AMS,3.1,2,2.5,9.2,0.0,0.0
50,Vilniaus AMS,3.8,1.9,3.3,10.1,0.0,0.0
51,Zarasų AMS,3.1,1.3,3.0,,0.0,0.0
,Visoje Lietuvoje,,2.2,,,,
