Eil. Nr.,Stotis[name],Aukščiausiaoro temperatūravakar dieną,Vidutinėoro temperatūrapraėjusią parą,Žemiausiaoro temperatūrašią naktį,Didžiausiasvėjo greitispraėjusią parą,Krituliu kiekisvakar dieną,Kritulių kiekisšią naktį
1,Akmenės AMS,0.2,-0.2,-2.1,,0.0,0.0
2,Alytaus AMS,-1.1,-1.1,-1.6,,0.0,0.0
3,Birštono AMS,-0.4,-0.5,-1.2,,0.0,0.0
4,Biržų AMS,-1.0,-1.1,-1.4,10.5,0.0,0.0
5,Dotnuvos AMS,-0.4,-0.7,-1.5,10.8,0.0,0.0
6,Druskininkų AMS,-1.0,-0.9,-1.4,,0.0,0.0
7,Dūkšto AMS,-1.7,-2.6,-1.8,10.1,0.0,0.0
8,Elektrėnų AMS,-1.8,-1.7,-2.1,,0.0,0.0
9,Jonavos AMS,-0.6,-0.7,-1.4,,0.0,0.0
10,Joniškio AMS,-0.3,-0.6,-1.9,,0.0,0.0
11,Jurbarko AMS,0.5,0.1,-1.1,,0.0,0.0
12,Kaišiadorių AMS,-1.2,-1.2,-1.8,,0.0,0.0
13,Kalvarijos AMS,-0.5,-0.7,-1.6,,0.0,0.0
14,Kauno AMS,-0.7,-0.8,-1.6,12.5,0.0,0.0
15,Kazlų Rūdos AMS,-0.3,-0.6,-1.5,,0.0,0.0
16,Kelmės AMS,-0.4,-0.8,-2.4,,0.0,0.0
17,Kybartų AMS,0.7,0.4,-1.1,12.3,0.0,0.0
18,Klaipėdos AMS,2.1,1.7,-1.2,13.2,0.0,0.0
19,Kretingos AMS,1.6,1.4,-1.3,,0.0,0.0
20,Kupiškio AMS,-1.5,-1.5,-1.7,,0.0,0.0
21,Laukuvos AMS,-0.3,-0.7,-2.6,13.0,0.0,0.0
22,Lazdijų AMS,-0.9,-1,-1.7,11.0,0.0,0.0
23,Marijampolės AMS,-0.2,-0.6,-1.6,12.1,0.0,0.0
24,Mažeikių AMS,0.5,0.1,-2.0,11.1,0.0,0.0
25,Molėtų AMS,-1.9,-2.2,-1.9,,0.0,0.0
26,Nidos AMS,2.5,2,-0.1,15.3,0.0,0.0
27,Pagėgių AMS,1.8,1,-0.9,,0.0,0.0
28,Pakruojo AMS,-0.5,-0.8,-1.8,,0.0,0.0
29,Panevėžio AMS,-0.9,-1.1,-1.6,10.3,0.0,0.0
30,Plungės AMS,0.0,-0.2,-2.1,,0.0,0.0
31,Prienų AMS,-1.1,-1.1,-2.0,,0.0,0.0
32,Raseinių AMS,-0.4,-0.9,-2.0,11.8,0.0,0.0
33,Rietavo AMS,0.1,-0.2,-2.0,,0.0,0.0
34,Rokiškio AMS,-1.5,-2.1,-1.6,10.7,0.0,0.0
35,Skuodo AMS,1.3,1,-2.2,,0.0,0.0
36,Šakių AMS,0.0,-0.4,-1.3,,0.0,0.0
37,Šalčininkų AMS,-2.4,-2.7,-2.4,,0.0,0.0
38,Šeduvos AMS,-0.7,-1,-2.0,,0.0,0.0
39,Šiaulių AMS,-0.6,-0.9,-2.3,10.7,0.0,0.0
40,Šilutės AMS,1.9,1.5,-0.8,12.8,0.0,0.0
41,Švenčionių AMS,-2.3,-3.1,-2.7,10.3,0.0,0.0
42,Tauragės AMS,0.9,0.5,-1.0,11.8,0.0,0.0
43,Telšių AMS,-0.3,-0.6,-2.7,11.6,0.0,0.0
44,Trakų AMS,-2.2,-2.1,-2.5,,0.0,0.0
45,Ukmergės AMS,-1.2,-1.2,-1.6,9.9,0.0,0.0
46,Utenos AMS,-1.4,-1.9,-1.5,10.4,0.0,0.0
47,Varėnos AMS,-1.7,-1.5,-1.9,9.8,0.0,0.0
48,Ventės AMS,2.4,2,-0.2,18.2,0.0,0.0
49,Vėžaičių AMS,1.3,1,-1.4,13.0,0.0,0.0
50,Vilniaus AMS,-2.2,-2.2,-2.3,11.6,0.0,0.0
51,Zarasų AMS,-1.7,-2.7,-2.0,,0.0,0.0
,Visoje Lietuvoje,,-0.7,,,,
