Eil. Nr.,Stotis[name],Aukščiausiaoro temperatūravakar dieną,Vidutinėoro temperatūrapraėjusią parą,Žemiausiaoro temperatūrašią naktį,Didžiausiasvėjo greitispraėjusią parą,Krituliu kiekisvakar dieną,Kritulių kiekisšią naktį
1,Akmenės AMS,0.3,0.3,0.0,,0.0,0.0
2,Alytaus AMS,3.0,1.8,1.5,,0.0,0.0
3,Birštono AMS,3.3,2.2,2.3,,0.2,0.1
4,Biržų AMS,1.2,0.5,0.2,9.7,0.0,0.0
5,Dotnuvos AMS,1.3,0.8,1.2,7.9,0.0,0.0
6,Druskininkų AMS,3.5,2.1,0.7,,0.0,0.1
7,Dūkšto AMS,0.9,0.1,0.7,8.0,0.0,0.0
8,Elektrėnų AMS,2.2,1.2,1.2,,0.0,0.0
9,Jonavos AMS,3.0,1.9,2.3,,0.0,0.2
10,Joniškio AMS,0.7,0.3,-0.1,,0.0,0.0
11,Jurbarko AMS,2.1,1.3,1.7,,0.0,0.0
12,Kaišiadorių AMS,2.5,1.5,1.6,,0.0,0.0
13,Kalvarijos AMS,2.5,1.3,1.7,,0.0,0.0
14,Kauno AMS,2.7,1.6,2.0,8.2,0.1,0.0
15,Kazlų Rūdos AMS,2.7,1.6,2.0,,0.0,0.0
16,Kelmės AMS,0.8,0.4,0.2,,0.0,0.2
17,Kybartų AMS,2.9,1.6,2.4,9.4,0.0,0.0
18,Klaipėdos AMS,2.6,1.5,1.5,10.3,0.0,0.0
19,Kretingos AMS,2.1,1.2,1.0,,0.0,0.0
20,Kupiškio AMS,1.0,0.4,0.4,,0.0,0.1
21,Laukuvos AMS,0.5,0.1,0.0,11.2,0.0,0.0
22,Lazdijų AMS,2.8,1.5,0.9,6.3,0.0,0.0
23,Marijampolės AMS,2.8,1.6,2.1,7.0,0.0,0.0
24,Mažeikių AMS,0.4,0.3,0.0,9.6,0.0,0.0
25,Molėtų AMS,1.3,0.6,1.1,,0.0,0.0
26,Nidos AMS,2.5,1.8,2.1,10.9,0.0,0.0
27,Pagėgių AMS,2.0,1.3,1.7,,0.0,0.0
28,Pakruojo AMS,1.1,0.4,0.3,,0.0,0.0
29,Panevėžio AMS,1.6,0.8,0.9,7.2,0.0,0.2
30,Plungės AMS,0.8,0.2,0.0,,0.0,0.0
31,Prienų AMS,2.3,1.4,1.5,,0.3,0.0
32,Raseinių AMS,0.8,0.3,0.5,10.1,0.0,0.0
33,Rietavo AMS,1.0,0.4,0.4,,0.0,0.0
34,Rokiškio AMS,0.4,-0.1,0.0,7.3,0.0,0.6
35,Skuodo AMS,1.3,0.7,0.2,,0.0,0.0
36,Šakių AMS,2.0,1.2,1.7,,0.0,0.0
37,Šalčininkų AMS,2.2,1.1,-0.3,,0.1,0.0
38,Šeduvos AMS,0.8,0.3,0.2,,0.0,0.0
39,Šiaulių AMS,0.5,0.2,0.0,7.4,0.0,0.0
40,Šilutės AMS,2.6,1.6,2.0,9.1,0.0,0.0
41,Švenčionių AMS,0.5,-0.1,0.2,7.5,0.0,0.0
42,Tauragės AMS,1.9,1.3,1.6,8.3,0.0,0.0
43,Telšių AMS,0.1,-0.1,-0.3,9.1,0.0,0.0
44,Trakų AMS,2.2,1.1,0.6,,0.0,0.0
45,Ukmergės AMS,2.3,1.2,1.8,7.4,0.0,0.0
46,Utenos AMS,1.6,0.8,1.3,7.7,0.0,0.0
47,Varėnos AMS,3.0,1.8,0.5,6.9,0.0,0.0
48,Ventės AMS,2.6,1.8,2.0,12.0,0.0,0.0
49,Vėžaičių AMS,2.0,1,0.9,10.5,0.0,0.0
50,Vilniaus AMS,2.1,1,0.4,8.2,0.0,0.0
51,Zarasų AMS,0.5,-0.2,0.4,,0.0,0.6
,Visoje Lietuvoje,,1,,,,
