Eil. Nr.,Stotis[name],Aukščiausiaoro temperatūravakar dieną,Vidutinėoro temperatūrapraėjusią parą,Žemiausiaoro temperatūrašią naktį,Didžiausiasvėjo greitispraėjusią parą,Krituliu kiekisvakar dieną,Kritulių kiekisšią naktį
1,Akmenės AMS,6.3,4.4,2.5,,0.0,0.0
2,Alytaus AMS,6.4,3.7,0.1,,0.0,0.0
3,Birštono AMS,6.8,4.2,-0.3,,0.0,0.0
4,Biržų AMS,5.6,3.7,2.0,7.8,0.0,0.0
5,Dotnuvos AMS,4.8,3.7,0.5,8.0,0.0,0.0
6,Druskininkų AMS,5.2,3.6,-0.1,,0.0,0.0
7,Dūkšto AMS,3.6,2.6,1.5,7.2,0.0,0.0
8,Elektrėnų AMS,4.6,3.4,1.2,,0.0,0.0
9,Jonavos AMS,5.0,3.9,1.5,,0.0,0.0
10,Joniškio AMS,6.6,4.2,2.2,,0.0,0.0
11,Jurbarko AMS,4.9,3.5,1.8,,0.0,0.0
12,Kaišiadorių AMS,4.9,3.6,0.9,,0.0,0.0
13,Kalvarijos AMS,5.5,3.5,-1.2,,0.0,0.0
14,Kauno AMS,4.8,3.6,0.6,7.5,0.0,0.0
15,Kazlų Rūdos AMS,5.7,3.7,-0.8,,0.0,0.0
16,Kelmės AMS,4.9,3.3,0.4,,0.0,0.0
17,Kybartų AMS,5.1,3.9,-0.1,9.4,0.0,0.0
18,Klaipėdos AMS,7.4,6.1,5.5,12.2,0.0,0.0
19,Kretingos AMS,7.4,5.6,3.5,,0.0,0.0
20,Kupiškio AMS,4.7,3.5,0.6,,0.0,0.0
21,Laukuvos AMS,4.3,3.1,0.2,10.5,0.0,0.0
22,Lazdijų AMS,5.3,3.4,0.1,7.4,0.0,0.0
23,Marijampolės AMS,6.0,4,0.0,7.8,0.0,0.0
24,Mažeikių AMS,6.6,4.8,3.4,11.6,0.0,0.0
25,Molėtų AMS,3.6,3,0.4,,0.0,0.0
26,Nidos AMS,7.0,5.7,2.5,10.7,0.0,0.0
27,Pagėgių AMS,5.1,3.6,1.1,,0.0,0.0
28,Pakruojo AMS,6.3,3.5,1.6,,0.0,0.0
29,Panevėžio AMS,5.3,3.8,0.0,7.9,0.0,0.0
30,Plungės AMS,5.7,4,2.1,,0.0,0.0
31,Prienų AMS,5.2,3.6,0.3,,0.0,0.0
32,Raseinių AMS,4.3,2.9,0.3,10.5,0.0,0.0
33,Rietavo AMS,4.8,3.3,1.0,,0.0,0.0
34,Rokiškio AMS,4.1,3,1.4,8.9,0.0,0.0
35,Skuodo AMS,7.2,5.2,4.0,,0.0,0.0
36,Šakių AMS,4.4,3.4,1.5,,0.0,0.0
37,Šalčininkų AMS,3.8,2.4,1.1,,0.0,0.0
38,Šeduvos AMS,5.4,3.6,0.5,,0.0,0.0
39,Šiaulių AMS,5.7,3.8,1.4,10.4,0.0,0.0
40,Šilutės AMS,5.3,4.3,0.0,10.1,0.0,0.0
41,Švenčionių AMS,3.0,2.2,0.5,5.3,0.0,0.0
42,Tauragės AMS,5.1,3.6,1.5,8.6,0.0,0.0
43,Telšių AMS,5.4,3.7,1.5,11.3,0.0,0.0
44,Trakų AMS,4.3,3,0.7,,0.0,0.0
45,Ukmergės AMS,4.5,3.4,0.8,7.6,0.0,0.0
46,Utenos AMS,4.2,3.5,0.4,6.3,0.1,0.0
47,Varėnos AMS,5.3,3.1,0.8,5.7,0.0,0.0
48,Ventės AMS,4.6,4.5,3.1,10.9,0.0,0.0
49,Vėžaičių AMS,6.6,4.8,2.3,9.2,0.0,0.0
50,Vilniaus AMS,4.0,2.8,0.9,5.7,0.0,0.0
51,Zarasų AMS,3.7,2.9,1.7,,0.0,0.0
,Visoje Lietuvoje,,3.7,,,,
