Eil. Nr.,Stotis[name],Aukščiausiaoro temperatūravakar dieną,Vidutinėoro temperatūrapraėjusią parą,Žemiausiaoro temperatūrašią naktį,Didžiausiasvėjo greitispraėjusią parą,Krituliu kiekisvakar dieną,Kritulių kiekisšią naktį
1,Akmenės AMS,4.9,4,0.8,,0.6,0.2
2,Alytaus AMS,4.8,4.4,3.2,,2.6,0.3
3,Birštono AMS,5.5,4.9,3.5,,3.3,0.3
4,Biržų AMS,4.8,3.9,2.7,7.4,0.0,0.7
5,Dotnuvos AMS,5.1,4.1,3.0,7.9,3.4,1.3
6,Druskininkų AMS,4.9,4.5,4.1,,3.0,0.8
7,Dūkšto AMS,3.9,3.2,1.9,7.4,0.7,0.7
8,Elektrėnų AMS,4.7,4.1,2.2,,2.6,1.8
9,Jonavos AMS,5.5,4.7,2.8,,4.5,2.8
10,Joniškio AMS,5.0,4.3,3.0,,0.1,1.1
11,Jurbarko AMS,5.0,4.3,3.2,,7.2,0.1
12,Kaišiadorių AMS,5.1,4.5,2.9,,3.2,1.3
13,Kalvarijos AMS,4.6,4.1,3.0,,4.2,0.0
14,Kauno AMS,5.0,4.5,3.2,9.8,6.0,0.7
15,Kazlų Rūdos AMS,5.1,4.4,3.2,,5.1,0.0
16,Kelmės AMS,4.7,3.7,3.0,,4.5,0.2
17,Kybartų AMS,5.1,4.5,3.1,9.7,4.0,0.1
18,Klaipėdos AMS,4.9,4.6,1.2,9.6,6.8,0.4
19,Kretingos AMS,5.0,4.1,1.8,,5.9,0.7
20,Kupiškio AMS,4.9,4.2,2.7,,1.9,0.3
21,Laukuvos AMS,4.2,3.5,2.9,10.9,3.5,0.0
22,Lazdijų AMS,4.6,4.3,3.4,10.0,4.1,0.1
23,Marijampolės AMS,4.9,4.4,3.3,10.0,4.7,0.0
24,Mažeikių AMS,4.9,4.1,1.3,6.8,0.0,0.0
25,Molėtų AMS,4.7,3.8,2.5,,2.7,2.0
26,Nidos AMS,4.7,4.2,4.0,10.4,11.0,0.9
27,Pagėgių AMS,5.0,4,3.2,,8.7,1.1
28,Pakruojo AMS,4.9,3.9,3.1,,2.2,0.6
29,Panevėžio AMS,5.3,4.4,3.1,7.6,2.7,1.0
30,Plungės AMS,4.4,3.3,1.6,,5.0,0.4
31,Prienų AMS,4.8,4.3,3.0,,4.4,1.6
32,Raseinių AMS,4.5,3.7,2.7,9.5,4.8,1.4
33,Rietavo AMS,4.2,3.2,2.6,,5.7,0.0
34,Rokiškio AMS,4.1,3.6,2.1,6.2,0.8,0.5
35,Skuodo AMS,4.9,4.1,-1.4,,0.3,0.1
36,Šakių AMS,5.1,4.2,3.0,,6.9,0.0
37,Šalčininkų AMS,3.6,3.4,1.8,,2.1,3.8
38,Šeduvos AMS,4.8,3.8,3.0,,3.3,0.9
39,Šiaulių AMS,4.7,3.9,2.9,7.4,4.7,0.2
40,Šilutės AMS,5.2,3.8,4.0,10.0,8.0,1.3
41,Švenčionių AMS,3.4,3,1.6,7.3,1.3,1.9
42,Tauragės AMS,5.1,4.3,3.4,8.4,8.0,1.3
43,Telšių AMS,4.2,3.2,1.5,8.4,4.4,0.2
44,Trakų AMS,4.3,3.9,2.1,,3.4,1.7
45,Ukmergės AMS,5.5,4.4,2.8,8.0,1.7,1.7
46,Utenos AMS,5.0,4.1,2.9,8.3,1.0,0.8
47,Varėnos AMS,4.5,4.2,2.8,8.3,3.6,7.4
48,Ventės AMS,4.9,4,3.9,13.4,6.9,1.3
49,Vėžaičių AMS,4.8,3.9,1.3,9.5,4.9,0.3
50,Vilniaus AMS,4.3,3.7,1.9,8.3,3.7,1.5
51,Zarasų AMS,3.9,3.2,1.8,,0.9,0.8
,Visoje Lietuvoje,,4,,,,
