Eil. Nr.,Stotis[name],Aukščiausiaoro temperatūravakar dieną,Vidutinėoro temperatūrapraėjusią parą,Žemiausiaoro temperatūrašią naktį,Didžiausiasvėjo greitispraėjusią parą,Krituliu kiekisvakar dieną,Kritulių kiekisšią naktį
1,Akmenės AMS,1.2,0.2,0.1,,0.0,0.0
2,Alytaus AMS,0.6,0.7,-1.1,,0.0,0.0
3,Birštono AMS,1.2,1.3,-0.4,,0.0,0.0
4,Biržų AMS,0.4,-0.2,-1.0,9.9,0.0,0.0
5,Dotnuvos AMS,0.6,0.4,-0.5,8.4,0.0,0.0
6,Druskininkų AMS,0.8,0.9,-1.1,,0.0,0.3
7,Dūkšto AMS,-1.3,-1.5,-3.0,8.6,0.1,0.0
8,Elektrėnų AMS,-0.3,0,-1.8,,0.0,0.0
9,Jonavos AMS,0.9,0.9,-0.6,,0.0,0.0
10,Joniškio AMS,0.8,0,-0.5,,0.0,0.1
11,Jurbarko AMS,1.7,1.6,0.5,,0.0,0.1
12,Kaišiadorių AMS,0.2,0.5,-1.2,,0.0,0.0
13,Kalvarijos AMS,1.0,1.1,-0.6,,0.0,0.2
14,Kauno AMS,0.8,1,-0.7,8.7,0.0,0.1
15,Kazlų Rūdos AMS,1.1,1.2,-0.3,,0.0,0.5
16,Kelmės AMS,0.6,0.3,-0.5,,0.0,0.2
17,Kybartų AMS,2.2,2.1,0.7,7.1,0.0,0.0
18,Klaipėdos AMS,4.0,2.2,2.0,8.8,2.8,0.0
19,Kretingos AMS,2.7,1.5,1.5,,2.4,0.0
20,Kupiškio AMS,0.0,-0.3,-1.5,,0.0,0.0
21,Laukuvos AMS,0.5,0.2,-0.3,10.2,0.2,0.0
22,Lazdijų AMS,0.6,0.8,-1.0,7.6,0.2,0.2
23,Marijampolės AMS,1.2,1.3,-0.3,8.6,0.0,0.1
24,Mažeikių AMS,1.2,0.1,0.0,8.1,0.5,0.0
25,Molėtų AMS,-0.8,-0.8,-2.5,,0.0,0.0
26,Nidos AMS,3.7,2.7,1.7,10.5,0.0,0.0
27,Pagėgių AMS,2.9,2.2,1.4,,0.0,0.0
28,Pakruojo AMS,0.7,0,-0.7,,0.0,0.1
29,Panevėžio AMS,0.3,0,-0.9,8.7,0.0,0.0
30,Plungės AMS,0.9,0.3,0.0,,1.5,0.0
31,Prienų AMS,0.3,0.6,-1.1,,0.0,0.0
32,Raseinių AMS,0.6,0.4,-0.5,9.2,0.0,0.2
33,Rietavo AMS,0.8,0.5,0.1,,0.0,0.1
34,Rokiškio AMS,-0.5,-1.1,-2.2,9.2,0.2,0.0
35,Skuodo AMS,1.6,0.4,1.1,,0.4,0.0
36,Šakių AMS,1.4,1.4,0.0,,0.0,0.0
37,Šalčininkų AMS,-1.5,-1.1,-3.3,,0.2,0.0
38,Šeduvos AMS,0.4,0,-0.7,,0.0,0.0
39,Šiaulių AMS,0.7,-0,-0.6,9.0,0.0,0.1
40,Šilutės AMS,3.7,2.5,1.5,9.3,0.0,0.0
41,Švenčionių AMS,-2.0,-1.8,-3.6,8.0,0.0,0.0
42,Tauragės AMS,1.9,1.5,0.8,8.2,0.4,0.0
43,Telšių AMS,0.7,-0.1,-0.4,8.7,0.2,0.0
44,Trakų AMS,-0.8,-0.4,-2.3,,0.0,0.0
45,Ukmergės AMS,0.1,0.2,-1.2,7.2,0.0,0.0
46,Utenos AMS,-0.6,-0.7,-2.2,8.9,0.0,0.0
47,Varėnos AMS,0.0,0.2,-1.8,6.2,0.0,0.0
48,Ventės AMS,3.9,2.8,1.9,10.7,0.0,0.0
49,Vėžaičių AMS,2.2,1.4,1.1,9.1,0.0,0.0
50,Vilniaus AMS,-0.8,-0.5,-2.5,8.3,0.0,0.0
51,Zarasų AMS,-0.8,-1.6,-3.1,,0.0,0.0
,Visoje Lietuvoje,,0.5,,,,
