Eil. Nr.,Stotis[name],NaudojamasPINN[pinn],Data,Vandens lygiscm.,Vandens debitasm3.,VandenstemperatūraºC
1,Akmena-Danė - Klaipėdos VMS,6426,2025-06-12 15:00:00,101.7,,16.0
2,Akmena-Danė - Klaipėdos VMS,6426,2025-06-12 14:00:00,103.5,,16.0
3,Akmena-Danė - Kretingos VMS,5122,2025-06-12 15:00:00,105.5,2.03,15.9
4,Akmena-Danė - Kretingos VMS,5122,2025-06-12 14:00:00,105.6,2.04,15.9
5,Akmena - Paakmenio VMS,5223,2025-06-12 15:00:00,25.6,2.57,14.9
6,Akmena - Paakmenio VMS,5223,2025-06-12 14:00:00,25.7,2.57,15.0
7,Alnis - Paelnės VMS,5328,2025-06-12 14:00:00,101.2,,17.7
8,Alnis - Paelnės VMS,5328,2025-06-12 15:00:00,101.1,,17.6
9,Atmata - Rusnės VMS,5124,2025-06-12 14:00:00,209.2,223.14,16.9
10,Atmata - Rusnės VMS,5124,2025-06-12 15:00:00,209.5,223.91,16.9
11,Atmata - Uostadvario VMS,5128,2025-06-12 15:00:00,529.7,,
12,Atmata - Uostadvario VMS,5128,2025-06-12 14:00:00,529.7,,
13,Aunuva - Aunuvėnų VMS,5221,2025-06-12 15:00:00,100.2,0.18,14.3
14,Aunuva - Aunuvėnų VMS,5221,2025-06-12 14:00:00,100.1,0.18,14.4
15,Baltijos jūra - Palangos VMS,5925,2025-06-12 15:00:00,524.1,,14.8
16,Baltijos jūra - Palangos VMS,5925,2025-06-12 14:00:00,522.4,,14.7
17,Baluošas - Vaišniūnių VMS,5624,2025-06-12 15:00:00,107.4,,16.8
18,Baluošas - Vaišniūnių VMS,5624,2025-06-12 14:00:00,107.5,,16.6
19,Bartuva - Skuodo VMS,6121,2025-06-12 15:00:00,58.6,5.65,16.2
20,Bartuva - Skuodo VMS,6121,2025-06-12 14:00:00,58.7,5.65,16.3
21,Beržupis - Lynežerio VMS,5320,2025-06-12 15:00:00,13.0,,14.0
22,Beržupis - Lynežerio VMS,5320,2025-06-12 14:00:00,12.9,,14.0
23,Birvėta - Lazinkų VMS,5229,2025-06-12 15:00:00,320.0,,16.5
24,Birvėta - Lazinkų VMS,5229,2025-06-12 14:00:00,320.4,,16.5
25,Daugyvenė - Rimšonių VMS,5722,2025-06-12 15:00:00,151.6,,15.7
26,Daugyvenė - Rimšonių VMS,5722,2025-06-12 14:00:00,151.5,,15.7
27,Dysna - Kačergiškės VMS,5526,2025-06-12 15:00:00,141.2,,15.5
28,Dysna - Kačergiškės VMS,5526,2025-06-12 14:00:00,141.3,,15.5
29,Dubysa - Lyduvėnų VMS,5322,2025-06-12 15:00:00,129.4,8.24,15.4
