Eil. Nr.,Stotis[name],Aukščiausiaoro temperatūravakar dieną,Vidutinėoro temperatūrapraėjusią parą,Žemiausiaoro temperatūrašią naktį,Didžiausiasvėjo greitispraėjusią parą,Krituliu kiekisvakar dieną,Kritulių kiekisšią naktį
1,Akmenės AMS,0.2,-1,0.1,,0.0,0.0
2,Alytaus AMS,0.6,-0.6,0.4,,0.0,0.0
3,Birštono AMS,1.2,0.1,1.0,,0.0,0.0
4,Biržų AMS,0.7,-0.4,-0.2,9.9,0.0,0.0
5,Dotnuvos AMS,0.5,-0.6,0.3,8.1,0.0,0.0
6,Druskininkų AMS,0.6,-0.3,0.6,,0.0,0.2
7,Dūkšto AMS,-0.1,-0.9,-0.7,9.4,0.0,0.0
8,Elektrėnų AMS,0.4,-0.8,0.2,,0.0,0.0
9,Jonavos AMS,1.1,-0,0.9,,0.0,0.0
10,Joniškio AMS,0.3,-0.8,0.0,,0.0,0.0
11,Jurbarko AMS,0.6,-0.3,0.6,,0.0,0.0
12,Kaišiadorių AMS,0.8,-0.5,0.5,,0.0,0.0
13,Kalvarijos AMS,0.3,-0.7,-0.1,,0.0,0.0
14,Kauno AMS,0.6,-0.5,0.5,9.6,0.0,0.0
15,Kazlų Rūdos AMS,0.8,-0.4,0.5,,0.0,0.0
16,Kelmės AMS,0.0,-1.3,0.0,,0.0,0.0
17,Kybartų AMS,0.6,-0.1,0.2,9.3,0.0,0.0
18,Klaipėdos AMS,0.8,-0.2,0.6,10.9,0.0,0.0
19,Kretingos AMS,0.5,-0.4,0.4,,0.0,0.0
20,Kupiškio AMS,0.6,-0.6,-0.1,,0.0,0.0
21,Laukuvos AMS,-0.5,-1.6,-0.5,10.4,0.0,0.0
22,Lazdijų AMS,0.1,-0.8,0.0,8.2,0.0,0.0
23,Marijampolės AMS,0.5,-0.4,0.2,9.6,0.0,0.0
24,Mažeikių AMS,0.1,-1,0.1,8.8,0.0,0.0
25,Molėtų AMS,0.2,-0.9,-0.3,,0.0,0.0
26,Nidos AMS,1.5,0.6,1.0,15.4,0.0,0.0
27,Pagėgių AMS,0.6,-0.1,0.4,,0.0,0.0
28,Pakruojo AMS,0.4,-0.8,0.0,,0.0,0.0
29,Panevėžio AMS,0.8,-0.5,0.3,7.8,0.0,0.0
30,Plungės AMS,-0.3,-1.3,-0.3,,0.0,0.0
31,Prienų AMS,0.5,-0.6,0.3,,0.0,0.0
32,Raseinių AMS,0.1,-1.1,0.0,9.4,0.0,0.0
33,Rietavo AMS,-0.2,-1.2,-0.2,,0.0,0.0
34,Rokiškio AMS,0.1,-0.8,-0.6,8.6,0.0,0.0
35,Skuodo AMS,0.3,-0.7,0.2,,0.0,0.0
36,Šakių AMS,0.5,-0.5,0.3,,0.0,0.0
37,Šalčininkų AMS,-0.1,-1.2,-0.3,,0.0,0.3
38,Šeduvos AMS,0.2,-1,0.0,,0.0,0.0
39,Šiaulių AMS,0.1,-1.2,0.0,8.2,0.0,0.0
40,Šilutės AMS,0.9,0.1,0.7,11.3,0.0,0.0
41,Švenčionių AMS,-0.1,-1.4,-0.8,9.2,0.0,0.1
42,Tauragės AMS,0.5,-0.3,0.5,9.0,0.0,0.0
43,Telšių AMS,-0.5,-1.7,-0.6,10.3,0.0,0.0
44,Trakų AMS,0.0,-1,0.0,,0.0,0.0
45,Ukmergės AMS,1.0,-0.3,0.3,8.0,0.0,0.0
46,Utenos AMS,0.7,-0.4,-0.1,10.3,0.0,0.0
47,Varėnos AMS,0.3,-0.7,0.3,8.2,0.0,0.0
48,Ventės AMS,1.4,0.6,1.0,14.7,0.0,0.0
49,Vėžaičių AMS,0.2,-0.6,0.1,10.9,0.0,0.0
50,Vilniaus AMS,0.2,-0.9,-0.1,8.5,0.0,0.2
51,Zarasų AMS,-0.1,-0.9,-0.9,,0.0,0.0
,Visoje Lietuvoje,,-0.6,,,,
