Eil. Nr.,Stotis[name],NaudojamasPINN[pinn],Data,Vandens lygiscm.,Vandens debitasm3.,VandenstemperatūraºC
157,Šventas - Girutiškės VMS,5327,2024-11-07 03:00:00,155.6,,7.0
158,Šventas - Girutiškės VMS,5327,2024-11-07 04:00:00,155.3,,7.0
159,Šventoji - Anykščių VMS,5521,2024-11-07 04:00:00,2.9,23.12,6.8
160,Šventoji - Anykščių VMS,5521,2024-11-07 03:00:00,2.8,23.07,6.8
161,Šventoji - Šventosios VMS,5823,2024-11-07 04:00:00,85.2,,8.2
162,Šventoji - Šventosios VMS,5823,2024-11-07 03:00:00,87.7,,8.2
163,Švėtė - Žagarės VMS,5724,2024-11-07 03:00:00,91.2,,7.2
164,Švėtė - Žagarės VMS,5724,2024-11-07 04:00:00,91.1,,7.2
165,Tatula - Trečionių VMS,6423,2024-11-07 03:00:00,71.1,1.01,6.7
166,Tatula - Trečionių VMS,6423,2024-11-07 04:00:00,71.1,1.01,6.7
167,Tauragnas - Tauragnų VMS,5522,2024-11-07 03:00:00,66.7,,8.1
168,Tauragnas - Tauragnų VMS,5522,2024-11-07 04:00:00,66.7,,8.1
169,Tenenys - Miestalių VMS,5821,2024-11-07 04:00:00,17.8,,7.8
170,Tenenys - Miestalių VMS,5821,2024-11-07 03:00:00,19.1,,7.8
171,Upita - Eidukų VMS,5325,2024-11-07 03:00:00,69.6,,7.7
172,Upita - Eidukų VMS,5325,2024-11-07 04:00:00,69.6,,7.7
173,Ūla-Pelesa - Zervynų VMS,4429,2024-11-07 04:00:00,95.3,3.81,5.5
174,Ūla-Pelesa - Zervynų VMS,4429,2024-11-07 03:00:00,95.3,3.81,5.6
175,Varėnė - Varėnos VMS,4122,2024-11-07 04:00:00,41.0,,5.9
176,Varėnė - Varėnos VMS,4122,2024-11-07 03:00:00,40.9,,5.9
177,Veiviržas - Mikužių VMS,5822,2024-11-07 04:00:00,61.6,,5.7
178,Veiviržas - Mikužių VMS,5822,2024-11-07 03:00:00,61.6,,5.7
179,Venta - Leckavos VMS,6221,2024-11-07 04:00:00,-33.9,8.48,8.3
180,Venta - Leckavos VMS,6221,2024-11-07 03:00:00,-34.2,8.40,8.3
181,Venta - Papilės VMS,6222,2024-11-07 04:00:00,138.6,4.92,9.7
182,Venta - Papilės VMS,6222,2024-11-07 03:00:00,138.7,4.94,9.7
183,Verknė - Verbyliškių VMS,4425,2024-11-07 03:00:00,86.5,3.33,6.0
184,Verknė - Verbyliškių VMS,4425,2024-11-07 04:00:00,86.9,3.39,6.0
185,Vilkas - Kamorūnų VMS,5527,2024-11-07 04:00:00,27.8,,5.9
186,Vilkas - Kamorūnų VMS,5527,2024-11-07 03:00:00,27.8,,6.1
187,Vilnia - Vilniaus VMS,4524,2024-11-07 03:00:00,187.7,,5.9
188,Vilnia - Vilniaus VMS,4524,2024-11-07 04:00:00,187.5,,5.9
189,Žeimena - Pabradės VMS,4521,2024-11-07 03:00:00,78.4,18.33,6.9
190,Žeimena - Pabradės VMS,4521,2024-11-07 04:00:00,78.3,18.30,6.9
191,Žuvintas - Žuvinto VMS,4321,2024-11-07 04:00:00,118.4,,7.4
192,Žuvintas - Žuvinto VMS,4321,2024-11-07 03:00:00,118.4,,7.4
