Eil. Nr.,Stotis[name],Aukščiausiaoro temperatūravakar dieną,Vidutinėoro temperatūrapraėjusią parą,Žemiausiaoro temperatūrašią naktį,Didžiausiasvėjo greitispraėjusią parą,Krituliu kiekisvakar dieną,Kritulių kiekisšią naktį
1,Akmenės AMS,5.3,4.3,-1.4,,0.1,0.9
2,Alytaus AMS,3.9,3.7,2.6,,2.5,2.1
3,Birštono AMS,4.8,4.3,3.3,,3.0,6.0
4,Biržų AMS,4.8,4.2,-1.1,10.0,0.4,0.6
5,Dotnuvos AMS,4.9,3.8,-0.4,8.3,0.7,5.7
6,Druskininkų AMS,4.0,3.7,2.6,,1.6,0.4
7,Dūkšto AMS,4.1,3.7,-0.4,11.4,0.3,3.5
8,Elektrėnų AMS,4.2,3.7,2.3,,1.4,10.2
9,Jonavos AMS,5.1,4.5,0.9,,0.1,10.6
10,Joniškio AMS,5.4,4.3,-1.7,,0.0,0.4
11,Jurbarko AMS,5.5,4.2,0.2,,1.1,5.8
12,Kaišiadorių AMS,4.7,4,2.6,,2.0,11.3
13,Kalvarijos AMS,4.3,3.6,2.8,,4.6,4.8
14,Kauno AMS,4.6,4,1.0,11.5,1.7,11.1
15,Kazlų Rūdos AMS,4.7,3.9,1.7,,2.7,9.2
16,Kelmės AMS,4.5,3.5,-0.3,,0.2,0.5
17,Kybartų AMS,5.4,4.4,0.3,9.9,4.4,9.9
18,Klaipėdos AMS,7.4,5.2,1.2,9.3,0.7,0.8
19,Kretingos AMS,5.7,4.5,0.4,,2.6,2.5
20,Kupiškio AMS,4.5,3.8,-0.4,,1.7,0.6
21,Laukuvos AMS,4.3,3.5,-0.7,9.2,0.0,0.3
22,Lazdijų AMS,3.6,3.4,2.4,10.9,2.5,2.8
23,Marijampolės AMS,4.4,3.8,3.0,11.8,3.0,5.8
24,Mažeikių AMS,5.9,4.4,-1.1,9.1,0.4,0.1
25,Molėtų AMS,4.4,3.8,0.2,,0.7,7.6
26,Nidos AMS,5.2,4.1,0.5,8.5,0.4,2.8
27,Pagėgių AMS,5.5,4.5,0.4,,0.4,4.7
28,Pakruojo AMS,5.1,4.1,-0.9,,0.0,0.4
29,Panevėžio AMS,4.9,4,-0.4,10.1,1.4,0.8
30,Plungės AMS,4.7,3.8,-0.4,,0.7,1.1
31,Prienų AMS,4.2,3.7,2.7,,2.6,9.4
32,Raseinių AMS,4.4,3.4,-0.9,8.3,0.9,2.7
33,Rietavo AMS,4.6,3.7,0.0,,0.3,0.5
34,Rokiškio AMS,4.2,3.6,-0.8,10.7,0.9,1.5
35,Skuodo AMS,6.4,4.7,-0.4,,3.0,0.4
36,Šakių AMS,5.1,3.6,0.1,,1.5,7.6
37,Šalčininkų AMS,3.7,3.1,1.9,,0.9,0.4
38,Šeduvos AMS,4.8,3.8,-0.6,,0.4,0.1
39,Šiaulių AMS,4.9,3.9,-1.0,10.2,0.0,1.3
40,Šilutės AMS,5.6,4.6,0.2,6.7,0.6,1.4
41,Švenčionių AMS,3.8,3.3,0.1,9.7,0.8,2.8
42,Tauragės AMS,5.3,4.3,0.0,6.1,0.2,4.0
43,Telšių AMS,4.5,3.6,-1.2,8.9,0.2,0.8
44,Trakų AMS,3.9,3.4,2.3,,0.9,4.2
45,Ukmergės AMS,4.9,4.2,0.2,9.3,0.7,6.3
46,Utenos AMS,4.8,4.1,0.1,8.6,0.0,4.9
47,Varėnos AMS,3.9,3.6,2.3,8.9,1.8,0.3
48,Ventės AMS,4.6,4,0.3,9.7,0.2,2.4
49,Vėžaičių AMS,5.0,4.1,0.5,7.4,1.2,0.7
50,Vilniaus AMS,3.9,3.4,2.2,12.1,1.0,3.4
51,Zarasų AMS,4.1,3.5,-0.7,,0.2,3.4
,Visoje Lietuvoje,,3.9,,,,
