Eil. Nr.,Stotis[name],Aukščiausiaoro temperatūravakar dieną,Vidutinėoro temperatūrapraėjusią parą,Žemiausiaoro temperatūrašią naktį,Didžiausiasvėjo greitispraėjusią parą,Krituliu kiekisvakar dieną,Kritulių kiekisšią naktį
1,Akmenės AMS,4.4,3.5,0.4,,0.0,0.0
2,Alytaus AMS,5.6,2.8,-1.0,,0.0,0.0
3,Birštono AMS,5.2,2.9,-0.8,,0.0,0.0
4,Biržų AMS,2.6,2.5,0.1,10.3,0.0,0.0
5,Dotnuvos AMS,3.7,2.3,0.9,9.7,0.0,0.0
6,Druskininkų AMS,5.2,2.2,-1.1,,0.0,0.0
7,Dūkšto AMS,2.4,1.9,-1.2,10.5,0.0,0.0
8,Elektrėnų AMS,4.8,2.8,0.2,,0.0,0.0
9,Jonavos AMS,4.8,3.1,1.2,,0.0,0.0
10,Joniškio AMS,3.4,2.8,-0.3,,0.0,0.0
11,Jurbarko AMS,4.1,2.9,0.0,,0.0,0.0
12,Kaišiadorių AMS,4.7,2.6,0.4,,0.0,0.0
13,Kalvarijos AMS,4.4,1.7,0.1,,0.0,0.0
14,Kauno AMS,3.5,2.5,1.1,8.6,0.0,0.0
15,Kazlų Rūdos AMS,4.2,2.2,0.9,,0.0,0.0
16,Kelmės AMS,2.7,1.9,1.1,,0.0,0.0
17,Kybartų AMS,4.5,2.7,-1.1,10.0,0.0,0.0
18,Klaipėdos AMS,6.7,5.7,1.2,13.4,0.0,0.0
19,Kretingos AMS,6.3,4.7,0.8,,0.0,0.0
20,Kupiškio AMS,2.6,2.1,-0.3,,0.0,0.0
21,Laukuvos AMS,2.2,1.4,0.3,10.3,0.0,0.0
22,Lazdijų AMS,5.4,2.3,0.9,9.7,0.0,0.0
23,Marijampolės AMS,4.2,2.3,0.7,8.0,0.0,0.0
24,Mažeikių AMS,5.4,4.2,0.8,10.5,0.0,0.0
25,Molėtų AMS,3.4,2.3,-0.5,,0.0,0.0
26,Nidos AMS,3.8,3.2,2.2,10.0,0.0,0.0
27,Pagėgių AMS,3.8,2.1,-0.6,,0.0,0.0
28,Pakruojo AMS,2.8,2.1,-1.0,,0.0,0.0
29,Panevėžio AMS,3.2,2.2,-0.1,10.3,0.0,0.0
30,Plungės AMS,3.5,2.4,-0.2,,0.0,0.0
31,Prienų AMS,4.0,2.4,0.4,,0.0,0.0
32,Raseinių AMS,3.3,2,1.2,10.2,0.0,0.0
33,Rietavo AMS,2.8,1.7,-0.9,,0.0,0.0
34,Rokiškio AMS,2.0,2,0.3,12.5,0.0,0.0
35,Skuodo AMS,6.6,5.4,0.7,,0.0,0.0
36,Šakių AMS,4.2,2.6,-0.5,,0.0,0.0
37,Šalčininkų AMS,3.4,1.5,-2.6,,0.0,0.0
38,Šeduvos AMS,2.6,2,-0.1,,0.0,0.0
39,Šiaulių AMS,2.8,2.2,1.3,13.1,0.0,0.0
40,Šilutės AMS,3.9,2.3,0.4,10.2,0.0,0.0
41,Švenčionių AMS,2.9,1.6,-1.4,7.2,0.0,0.0
42,Tauragės AMS,3.8,2.6,0.6,7.7,0.0,0.0
43,Telšių AMS,3.0,2.2,0.7,11.3,0.0,0.0
44,Trakų AMS,4.9,2.4,-0.6,,0.0,0.0
45,Ukmergės AMS,4.0,2.6,0.5,10.1,0.0,0.0
46,Utenos AMS,3.4,2.3,-0.9,9.9,0.0,0.0
47,Varėnos AMS,5.7,2.4,-2.6,7.4,0.0,0.0
48,Ventės AMS,3.8,3.4,1.4,11.6,0.0,0.0
49,Vėžaičių AMS,3.5,2.7,0.6,9.4,0.0,0.0
50,Vilniaus AMS,5.4,2.4,-1.0,8.2,0.0,0.0
51,Zarasų AMS,2.7,2.1,-0.8,,0.0,0.0
,Visoje Lietuvoje,,2.6,,,,
